hName,hGender,hClass,hOccupaton,hLocale,svName,svEthnicity,svGender,svAge,svActive,bName,bGender,bClass,bOccupation,bLocale,term,pL,pD,pF,pS,nurse,p/Yr,Year,actDate
Giacomo de Andoria,male,artefices,mercante alemano,Andora,Margherita,Hungarian,female,34,,Giacomo de Frassineto,male,artefices,peliparius,,5,44,,,,,8.8,1456,1456-05-30
Giovanni Delfino,male,mercantes,,,Maria,Circassian,female,29,,Bartolomeo de Riccobono,male,mercantes,,,9,80,,,,,8.89,1473,1473-04-07
Barnaba de Sancto Blaxio,male,mercantes,,San Biagio della Cima,Maria,Greek,female,24,,Niccolò Cassana,male,mercantes,,,11,99,,,,,9,1489,1489
Galeotto Salvago,male,nobiles,,,Maddalena,,female,,,Francesco Panario,male,foreign,mercator,Valencia,5,45,,,,,9,1495,1495
Lodiso Paxerio,male,artefices,seatarius,,Maddalena,Tartaran,female,30,,Blasio de Gradi,male,mercantes,,,10,90,,,,,9,1458,1458-01-07
Matteo Vivolo,male,artefices,,,Cita,Abkhazan,female,,,Giraforte Costa,male,artefices,calzolarius,,10,90,,,,,9,1474,1474
Perrino Gentile,male,nobiles,,,Caterina,,female,,,Cosmo Tarigo,male,mercantes,,,5,45,,,,,9,1401,1401
Raffaele della Spezia,male,artefices,,La Spezia,Maria,,female,,,Egidio Merello,male,artefices,,,,,,,,y,9,1416,1416-01-09
Michele de Turrilia,male,mercantes,,Torriglia,Margherita,Circassian,female,25,,Agostino Boto,male,artefices,speciarius,,1,100,,,,,9.09,1460,1460-09-04
Accellino Gentile,male,nobiles,,,Agnese,Abkhazan,female,32,,Andrea Cepula,male,foreign,,Naples,6,55,,,,y,9.17,1435,1435
Benedetto de Leonardo,male,artefices,,,Margherita,Hungarian,female,34,,Vincenzo de Rabiis,male,foreign,mercator,Milan,6,55,,,,,9.17,1455,1455-09-26
Giannetta Salvago,female,nobiles,,,Marta,Russian,female,23,,Giorgio de Carmo,male,artefices,revenditor raubarum,,7.6,70,,,,,9.21,1447,1447
Benedetto Pinelli,male,nobiles,,,Maria,Moorish,female,20,,Giovanni Agostino de Illuminatis,male,artefices,,,8,75,,,,,9.375,1498,1498
Ottavio Imperiale,male,nobiles,,,Caterina,Bosnian,female,32,,Battista Piccamiglio,male,nobiles,,,16,150,,,,,9.375,1479,1479-12-18
Pietro Fieschi,male,mercantes,,,Maria,Circassian,female,32,,Galeazzo de Levanto,male,mercantes,,,16,150,,,,,9.375,1472,1472-03-18
Battista Palamide,male,,,,Maddalena,Russian,female,45,,Giriforte Costa,male,artefices,draperius,,10,95,,,,,9.5,1492,1492
Edoardo de Promontorio,male,mercantes,,,Cristina,Abkhazan,female,36,,Cristoforo Doria,male,nobiles,,,9,85.5,,,,,9.5,1452,1452
,,,,,Anatasia,Russian,female,33,,,,,,,13,125,,,,,9.62,1469,1469
Accellino Spinola,male,nobiles,,,Maria,,female,,,Valerano Cattaneo,male,nobiles,,,6,60,,,,,10,1458,1458-04-08
Agostino Lasagna,male,mercantes,,,Maria,Circassian,female,29,,Andreola Spinola,female,nobiles,,,7,70,,,,,10,1469,1469-05-18
Andrea de Guizo,male,mercantes,,,Marta,Abkhazan,female,35,,Tommaso Spinola,male,nobiles,,,6,60,,,,,10,1470,1470-12-13
Antonio Usodimare,male,nobiles,,,Lucia,Circassian,female,21,,Egidio Rois,male,foreign,mercator,Catalonia,3,30,,,,,10,1456,1456-05-11
Argentina de Fravega,female,artefices,,Fravega,Cristina,,female,26,,Giorgio de Rocha,male,artefices,bancalarius,,5,50,,,,,10,1421,1421
Bartolomeo de Canicia,male,artefices,notarius,,Margherita,Russian,female,25,,Leonardo Garibaldi,male,nobiles,,,15,150,,,,,10,1469,1469-04-18
Bartolomeo de Monsia,male,artefices,seatarius,,Maria,Greek,female,28,,Angelo de Zerbi,male,artefices,seatarius,,3,30,,,,,10,1488,1488
Bartolomeo Ittaliano,male,nobiles,,,Caterina,Russian,female,34,,Lodisio de Brevei,male,artefices,notarius,,12,120,,,,,10,1478,1478-01-21
Battista Cibo,male,nobiles,,,Elena,Russian,female,34,,Anasaldo Giustiniani,male,mercantes,,,7,70,,,,,10,1469,1469-02-06
Battista de Monsia,male,artefices,,,Lucia,Bulgarian,female,24,,Battista Carena,male,,,,15,150,,,,,10,1460,1460-02-25
Battistina Crescia,female,,,,Maria,,female,32,,Paolo Lomellini,male,nobiles,,,6,60,,,,,10,1484,1484
Bernardo Aucreto,male,,,,Caterina,Abkhazan,female,20,,Teodoro de Fornari,male,mercantes,,,12,120,,,,,10,1492,1492
Bianchetta de Franchi,female,mercantes,,,Agnese,Russian,female,30,,Giacomo Anterio,male,mercantes,revenditor raubarum,,10,100,,,,,10,1479,1479-06-14
Cristoforo Guidice,male,mercantes,,,Caterina,Russian,female,35,,Bartolomea Marchione,female,mercantes,,,12,120,,,,,10,1474,1474-12-15
Cristoforo Spinola,male,nobiles,,,Cita,Moorish,female,35,,Odoardo Grillo,male,nobiles,,,8,80,,,,,10,1486,1486
Cristoforo Spinola,male,nobiles,,,Cita,Moorish,female,35,,Odoardo Grillo,male,nobiles,,,8,80,,,,,10,1486,1486
Davide de Amico,male,mercantes,legum doctor,,Margherita,Turkish,female,30,,Niccolò Usodimare,male,nobiles,,,4,40,,,,,10,1499,1499
Edoardo Grillo,male,nobiles,,,Maddalena,Circassian,female,35,,Giovanni Centurione,male,nobiles,,,12,120,,,,,10,1477,1477
Fabiano de San Michele,male,artefices,,,Maddalena,Tartaran,female,,,Giovanni de Canali,male,artefices,,,4,40,,,,y,10,1390,1390-02-18
Francesco de Franchi,male,mercantes,,,Maria,,female,26,,Giovanni Doria,male,nobiles,,,10,100,,,,,10,1496,1496-05-16
Francesco Gambone,male,mercantes,,,Maddalena,Circassian,female,26,,Girolamo Lomellini,male,nobiles,,,15,150,,,,,10,1482,1482-11-07
Francesco Giustiniani,male,mercantes,,,Teodora,Russian,female,30,,Sabrina Spinola,female,nobiles,,,12,120,,,,,10,1484,1484
Galeotto di Negro,male,nobiles,,,Margherita,Circassian,female,34,,Paolo Lercari,male,nobiles,,,4,40,,,,,10,1478,1478-02-27
Giacomo de Plebe,male,artefices,,,Caterina,Abkhazan,female,25,,Bartolomeo de Franchi,male,mercantes,,,6,60,,,,,10,1498,1498-06-07
