sourceID,sourceName,edgeName,targetID,targetName,
470ec411-000f-4a1a-a163-9d3bd5fd8e2a,Antonio de Fazio,—author—>,36cc582e-e259-48bd-a91e-65cd5071454e,"Antiono Fazio, filza 1, nr. 305",
470ec411-000f-4a1a-a163-9d3bd5fd8e2a,Antonio de Fazio,—author—>,2db2c8e2-ec30-4b4a-a3eb-e276a02cecfa,"Antonio Fazio, filza 4, nr. 170",
470ec411-000f-4a1a-a163-9d3bd5fd8e2a,Antonio de Fazio,—author—>,2bbcbe13-de0b-4a5a-a75e-e27a69e9a6d4,"Antonio Fazio, filza 19, nr. ---",
470ec411-000f-4a1a-a163-9d3bd5fd8e2a,Antonio de Fazio,—author—>,23709bb9-3884-4fcd-ba26-2fe053a408ae,"Antonio Fazio, filza 7, nr. 231",
470ec411-000f-4a1a-a163-9d3bd5fd8e2a,Antonio de Fazio,—author—>,2117d53d-4fee-4635-8f99-ad7ee7e3d928,"Antonio Fazio, filza 2, nr. 78",
470ec411-000f-4a1a-a163-9d3bd5fd8e2a,Antonio de Fazio,—author—>,1cfaa39e-451d-4cc7-b06e-c751a8e76cf0,"Antonio Fazio, filza 7, nr. 260",
470ec411-000f-4a1a-a163-9d3bd5fd8e2a,Antonio de Fazio,—author—>,11396008-7b1d-41e9-ba56-5ca4fc749a95,"Antonio Fazio, filza 7, nr. 285",
1127b5b2-ebeb-459f-8110-65fcdc85d421,Antonio Leardo,—author—>,e39dbe21-250d-4371-8532-e634fa7d2c3e,"Antonio Leardo, filza 1, nr. 303",
fe84bd47-7930-4be4-9dcb-b43d9f10df69,Antonio Pastorino,—author—>,f9ec1e8c-eccc-449a-aa67-c761ab8af2f7,"Antonio Pastorino, filza 9, nr. 64",
fe84bd47-7930-4be4-9dcb-b43d9f10df69,Antonio Pastorino,—author—>,e19617cd-c846-41a3-a162-49c68f77dea9,"Antonio Pastorino, filza 6, nr. 322",
fe84bd47-7930-4be4-9dcb-b43d9f10df69,Antonio Pastorino,—author—>,dcd210df-71c6-49b0-96eb-d70c537ee284,"Antonio Pastorino, filza 4, nr. 194",
fe84bd47-7930-4be4-9dcb-b43d9f10df69,Antonio Pastorino,—author—>,a950be7e-5ee2-4b48-8351-8f95e1146704,"Antonio Pastorino, filza 8, nr. 256",
fe84bd47-7930-4be4-9dcb-b43d9f10df69,Antonio Pastorino,—author—>,8b9ddf37-fe15-4e30-a9f8-f0a3c02667a0,"Antonio Pastorino, filza 7, nr. ---",
fe84bd47-7930-4be4-9dcb-b43d9f10df69,Antonio Pastorino,—author—>,8156bac6-8a1f-4139-a73a-86ba951ea565,"Antonio Pastorino, filza 11, nr. 138",
fe84bd47-7930-4be4-9dcb-b43d9f10df69,Antonio Pastorino,—author—>,5fe9951e-4a2f-4219-a79b-f5dd2936c45d,"Antonio Pastorino, filza 2, nr. 545",
fe84bd47-7930-4be4-9dcb-b43d9f10df69,Antonio Pastorino,—author—>,4b8a61e0-0272-40af-a85c-66e328e6c4df,"Antonio Pastorino, filza 12, nr. 290",
fe84bd47-7930-4be4-9dcb-b43d9f10df69,Antonio Pastorino,—author—>,4537f30e-08dc-4b7c-9dae-6ec38a71bee3,"Antonio Pastorino, filza 15, nr. 587",
fe84bd47-7930-4be4-9dcb-b43d9f10df69,Antonio Pastorino,—author—>,40150ff0-1730-4e1e-8aae-65e781b5a0d5,"Antonio Pastorino, filza 13, nr. 429",
fe84bd47-7930-4be4-9dcb-b43d9f10df69,Antonio Pastorino,—author—>,3a458565-8ed5-462d-89e8-25dec4e73e94,"Antonio Pastorino, filza 11, nr. 338",
fe84bd47-7930-4be4-9dcb-b43d9f10df69,Antonio Pastorino,—author—>,211db0f3-a5df-415f-ba9b-49fcae0830d1,"Antonio Pastorino, filza 2, nr. 150",
0f77d00b-9f19-4ced-9785-46a0a2cfd89c,Antonio Percipiano,—author—>,170445bb-baa6-4968-88ad-4aaff9c2d683,"Antonio Percipiano, filza 1, nr. 43",
ee7d7d3e-9f1e-4be2-b865-a987106ad201,Antonio Torriglia,—author—>,0be052a7-f326-4e16-bb01-8e9c67afd77f,"Antonio Torriglia, filza 2, nr. ---",
99d557ab-acdd-4623-84e5-0c5f16b0775f,Bartolomeo Canessa,—author—>,cb49005b-9b1d-4bfc-a54d-6b9758b6a96a,"Bartolomeo Canessa, filza 1, nr. 128 (formerly nr. 120)",
99d557ab-acdd-4623-84e5-0c5f16b0775f,Bartolomeo Canessa,—author—>,c3c938d5-fe05-4d71-a12b-c5f69e6950fb,"Bartolomeo Canessa, filza 1, nr. 16 (formerly nr. 12)",
99d557ab-acdd-4623-84e5-0c5f16b0775f,Bartolomeo Canessa,—author—>,4f09a486-a0f7-4f5d-9172-b4d41b01d6e4,"Bartolomeo Canessa, filza 1, nr. 168 (formerly nr. 164)",
99d557ab-acdd-4623-84e5-0c5f16b0775f,Bartolomeo Canessa,—author—>,1d0ff31a-f3b3-44e1-b245-f25d667b290b,"Bartolomeo Canessa, filza 1, nr. 35 (formerly nr. 29)",
99d557ab-acdd-4623-84e5-0c5f16b0775f,Bartolomeo Canessa,—author—>,175a87a4-2b98-4def-bc29-41f90f54e9cb,"Bartolomeo Canessa, filza 1, nr. 184 (formerly nr. 176)",
22040981-79fe-44f2-848b-79024ace6c62,Bartolomeo Gatto,—author—>,8c65ff37-9944-4207-8bc8-2c9012c709a5,"Bartolomeo Gatto, registro 9/I, 1399-1400, fol. 5v",
4654f40c-7427-4ea0-ae47-fe1c24b31a13,Bartolomeo Podestà,—author—>,a7837700-77af-433c-90ef-59f6dd6bfe66,"Bartolomeo Podestà , filza 1, nr. ---",
33cc38d1-cc95-4c7b-ba48-dc442adaf97a,Bartolomeo Facio,—author—>,d19cd861-8622-4a76-98ce-3b7318e3c19f,De viris illustribus liber nunc primum ex ms. cod in lucem erutus,801218815
327f6750-eb71-41b2-9c5a-deb15e5e0785,Bartolomeo Risso,—author—>,ff99071a-3018-49aa-9cc2-19092d55c534,"Bartolomeo Risso, filza 5, series I, nr. 11",
327f6750-eb71-41b2-9c5a-deb15e5e0785,Bartolomeo Risso,—author—>,fc80cecd-4d63-4ae7-a9c7-dc688f0fa804,"Bartolomeo Risso, filza 5, series I, nr. 154",
327f6750-eb71-41b2-9c5a-deb15e5e0785,Bartolomeo Risso,—author—>,fbf6e62d-0e06-46c9-9b53-985ef927aa2e,"Bartolomeo Risso, filza 4, series II, nr. 112",
327f6750-eb71-41b2-9c5a-deb15e5e0785,Bartolomeo Risso,—author—>,f546f2f9-6adf-42ee-9480-b8c842c11c34,"Bartolomeo Risso, filza 1, series II, nr. 94",
327f6750-eb71-41b2-9c5a-deb15e5e0785,Bartolomeo Risso,—author—>,f500fb78-4832-4a12-8790-75b0833351b0,"Bartolomeo Risso, filza 6, nr. 31",
327f6750-eb71-41b2-9c5a-deb15e5e0785,Bartolomeo Risso,—author—>,f222392f-24f2-4ea1-827a-1b9ac5b1bb66,"Bartolomeo Risso, filza 6, nr. 361",
327f6750-eb71-41b2-9c5a-deb15e5e0785,Bartolomeo Risso,—author—>,f08b0372-e9b5-498f-afe3-4dcfca5c836e,"Bartolomeo Risso, filza 5, series II, nr. 23",
327f6750-eb71-41b2-9c5a-deb15e5e0785,Bartolomeo Risso,—author—>,ee880ec9-3567-4930-a392-f91910690354,"Bartolomeo Risso, filza 5, series II, nr. 134",
327f6750-eb71-41b2-9c5a-deb15e5e0785,Bartolomeo Risso,—author—>,ecf0492c-fdf4-4258-aba0-72b17b04399c,"Bartolomeo Risso, filza 3, series I, nr. 167",
327f6750-eb71-41b2-9c5a-deb15e5e0785,Bartolomeo Risso,—author—>,eb2454d8-dd95-43e5-9a4c-087ca1461de6,"Bartolomeo Risso, filza 6, nr. 159",
327f6750-eb71-41b2-9c5a-deb15e5e0785,Bartolomeo Risso,—author—>,e559dccd-54d3-4db8-b881-28e8928871bd,"Bartolomeo Risso, filza 5, series I, nr. 101",
327f6750-eb71-41b2-9c5a-deb15e5e0785,Bartolomeo Risso,—author—>,e2790478-7401-4b18-ac1c-7f05a17dd4ad,"Bartolomeo Risso, filza 5, series II, nr. 75",
327f6750-eb71-41b2-9c5a-deb15e5e0785,Bartolomeo Risso,—author—>,e19394b4-8f2a-4a18-8567-9954b4a5009b,"Bartolomeo Risso, filza 1, series I, nr. 30",
327f6750-eb71-41b2-9c5a-deb15e5e0785,Bartolomeo Risso,—author—>,e17589f9-6e3b-474b-af51-c5a787e3ee3c,"Bartolomeo Risso, filza 4, series I, nr. 118",
327f6750-eb71-41b2-9c5a-deb15e5e0785,Bartolomeo Risso,—author—>,d1fc201b-fce7-4f05-9495-da710087f24a,"Bartolomeo Risso, filza 2, series II, nr. 160",
327f6750-eb71-41b2-9c5a-deb15e5e0785,Bartolomeo Risso,—author—>,d12c5773-6208-44b0-8be2-9b4cdfe117f4,"Bartolomeo Risso, filza 2, series II, nr. 353 (formerly nr. 348)",
327f6750-eb71-41b2-9c5a-deb15e5e0785,Bartolomeo Risso,—author—>,d0672b04-8ddb-4bcf-b046-a5fa9f93877e,"Bartolomeo Risso, filza 1, series III, nr. 74",
327f6750-eb71-41b2-9c5a-deb15e5e0785,Bartolomeo Risso,—author—>,cc0c8807-678c-417d-9b34-112828377759,"Bartolomeo Risso, filza 1, series II, nr. 30",
327f6750-eb71-41b2-9c5a-deb15e5e0785,Bartolomeo Risso,—author—>,ca65f0af-15fc-4fca-a5b2-1e1e0265b37b,"Bartolomeo Risso, filza 4, series II, nr. 99",
327f6750-eb71-41b2-9c5a-deb15e5e0785,Bartolomeo Risso,—author—>,c3a2421b-44e4-4cb9-ae4e-cc00a470790b,"Bartolomeo Risso, filza 1, series I, nr. 222",
327f6750-eb71-41b2-9c5a-deb15e5e0785,Bartolomeo Risso,—author—>,c2e3f2bd-331b-44f4-aa22-8c386dfa334c,"Bartolomeo Risso, filza 5, series II, nr. 247",
327f6750-eb71-41b2-9c5a-deb15e5e0785,Bartolomeo Risso,—author—>,c1eb8998-83b1-42ea-952b-5431de3fa8b8,"Bartolomeo Risso, filza 5, series III, nr. 3",
327f6750-eb71-41b2-9c5a-deb15e5e0785,Bartolomeo Risso,—author—>,bde04740-32be-4605-a634-a52eb5e8a811,"Bartolomeo Risso, filza 5, series II, nr. 97",
327f6750-eb71-41b2-9c5a-deb15e5e0785,Bartolomeo Risso,—author—>,b9a85ceb-8c34-4fa9-8853-5b3f6cf6f048,"Bartolomeo Risso, filza 6, nr. 179",
327f6750-eb71-41b2-9c5a-deb15e5e0785,Bartolomeo Risso,—author—>,b85e1026-725d-418c-86d5-dc0d174db758,"Bartolomeo Risso, filza 5, series III, nr. 83",
327f6750-eb71-41b2-9c5a-deb15e5e0785,Bartolomeo Risso,—author—>,b1efe8af-2e1d-4865-94a3-513d8d1bb414,"Bartolomeo Risso, filza 6, nr. 348",
327f6750-eb71-41b2-9c5a-deb15e5e0785,Bartolomeo Risso,—author—>,abf2f02a-733a-4ea0-a275-f61f9cbe0d0c,"Bartolomeo Risso, filza 6, nr. 187",
327f6750-eb71-41b2-9c5a-deb15e5e0785,Bartolomeo Risso,—author—>,aadef39d-c784-41fa-8986-ff75db1702a7,"Bartolomeo Risso, filza 5, series II, nr. 141",
327f6750-eb71-41b2-9c5a-deb15e5e0785,Bartolomeo Risso,—author—>,aa6c0805-6401-4d28-bb11-8184ef196720,"Bartolomeo Risso, filza 5, series II, nr. 82",
327f6750-eb71-41b2-9c5a-deb15e5e0785,Bartolomeo Risso,—author—>,a8afce18-0a03-4245-a29d-69be99f849bb,"Bartolomeo Risso, filza 5, series III, nr. 25",
327f6750-eb71-41b2-9c5a-deb15e5e0785,Bartolomeo Risso,—author—>,a81a0dbb-000e-44d4-aebf-3eefdbd4c083,"Bartolomeo Risso, filza 5, series I, nr. 97",
327f6750-eb71-41b2-9c5a-deb15e5e0785,Bartolomeo Risso,—author—>,a5a59559-9afd-4b87-ab3c-b3b7eb73fe3d,"Bartolomeo Risso, filza 1, series III, nr. 167",
327f6750-eb71-41b2-9c5a-deb15e5e0785,Bartolomeo Risso,—author—>,a3747eac-a05f-4556-a7d1-0502c7428c5e,"Bartolomeo Risso, filza 6, nr. 290",
327f6750-eb71-41b2-9c5a-deb15e5e0785,Bartolomeo Risso,—author—>,a0855f8f-c8ed-4c7b-865d-b98d14fbc989,"Bartolomeo Risso, filza 3, series I, nr. 109",
327f6750-eb71-41b2-9c5a-deb15e5e0785,Bartolomeo Risso,—author—>,9fa12d29-926a-4839-854c-3d283dec1565,"Bartolomeo Risso, filza 5, series III, nr. 75",
327f6750-eb71-41b2-9c5a-deb15e5e0785,Bartolomeo Risso,—author—>,9a8c8d07-4aef-421a-bb9c-944573377e3a,"Bartolomeo Risso, filza 6, nr. 227",
327f6750-eb71-41b2-9c5a-deb15e5e0785,Bartolomeo Risso,—author—>,99583c01-5333-4e0a-83fa-38ec15773c81,"Bartolomeo Risso, filza 1, series III, nr. 6",
327f6750-eb71-41b2-9c5a-deb15e5e0785,Bartolomeo Risso,—author—>,98e9a9f5-c002-4170-8f2b-fc29d076d005,"Bartolomeo Risso, filza 2, series II, nr. 59",
327f6750-eb71-41b2-9c5a-deb15e5e0785,Bartolomeo Risso,—author—>,966119be-1c76-4ccc-8158-0ab6c44b45d8,"Bartolomeo Risso, filza 4, series I, nr. ---",
327f6750-eb71-41b2-9c5a-deb15e5e0785,Bartolomeo Risso,—author—>,95c4a07d-d755-42e8-913b-cfbd1675e465,"Bartolomeo Risso, filza 6, nr. 304",
327f6750-eb71-41b2-9c5a-deb15e5e0785,Bartolomeo Risso,—author—>,94f8197e-046f-4f29-9d6e-18b811eacf57,"Bartolomeo Risso, filza 6, nr. 226",
327f6750-eb71-41b2-9c5a-deb15e5e0785,Bartolomeo Risso,—author—>,9305873a-9210-44d3-b26e-b0977ab11c01,"Bartolomeo Risso, filza 1, series II, nr. 72",
327f6750-eb71-41b2-9c5a-deb15e5e0785,Bartolomeo Risso,—author—>,8f1ad42c-a982-4826-b5b3-d3d188b9565b,"Bartolomeo Risso, filza 2, series I, nr. 210",
327f6750-eb71-41b2-9c5a-deb15e5e0785,Bartolomeo Risso,—author—>,8b1a390d-740b-40b7-ab98-1f9384cf6bf9,"Bartolomeo Risso, filza 6, nr. 225",
327f6750-eb71-41b2-9c5a-deb15e5e0785,Bartolomeo Risso,—author—>,88dc3912-de51-4205-bad5-2d13131eb822,"Bartolomeo Risso, filza 5, series ---, nr. 29",
327f6750-eb71-41b2-9c5a-deb15e5e0785,Bartolomeo Risso,—author—>,87767949-065d-47b3-9746-d42a72e7f07a,"Bartolomeo Risso, filza 6, nr. 267",
327f6750-eb71-41b2-9c5a-deb15e5e0785,Bartolomeo Risso,—author—>,8211417e-72c7-4776-b447-03b9405c7721,"Bartolomeo Risso, filza 6, nr. 344 (formerly nr. 345)",
327f6750-eb71-41b2-9c5a-deb15e5e0785,Bartolomeo Risso,—author—>,7f866291-9e40-4e22-a8ed-4102f882f315,"Bartolomeo Risso, filza 5, series III, nr. 134",
327f6750-eb71-41b2-9c5a-deb15e5e0785,Bartolomeo Risso,—author—>,7f72559d-e328-4293-a459-7cce154e6af3,"Bartolomeo Risso, filza 5, series ---, nr. 189",
327f6750-eb71-41b2-9c5a-deb15e5e0785,Bartolomeo Risso,—author—>,7861f94c-0e22-4f23-b5d8-004ca5ef8fc2,"Bartolomeo Risso, filza 1, series I, nr. 11",
327f6750-eb71-41b2-9c5a-deb15e5e0785,Bartolomeo Risso,—author—>,75ebf6cf-a13b-43b8-9b7d-502b1753353f,"Bartolomeo Risso, filza 5, series II, nr. 261",
327f6750-eb71-41b2-9c5a-deb15e5e0785,Bartolomeo Risso,—author—>,732c58b6-9d6b-4c86-a2b5-3d4fd95ef132,"Bartolomeo Risso, filza 6, nr. 42",
327f6750-eb71-41b2-9c5a-deb15e5e0785,Bartolomeo Risso,—author—>,6641e13c-d3c4-4985-9219-1aaf871058eb,"Bartolomeo Risso, filza 4, series I, nr. 129",
327f6750-eb71-41b2-9c5a-deb15e5e0785,Bartolomeo Risso,—author—>,62446463-4f65-45e6-a864-b6779c9a7288,"Bartolomeo Risso, filza 4, series II, nr. 221",
327f6750-eb71-41b2-9c5a-deb15e5e0785,Bartolomeo Risso,—author—>,5d533800-ca0c-45b0-af12-a372a279e0f9,"Bartolomeo Risso, filza 5, series I, nr. 332",
327f6750-eb71-41b2-9c5a-deb15e5e0785,Bartolomeo Risso,—author—>,5c63f034-f537-493f-8965-ef76c780e8e6,"Bartolomeo Risso, filza 5, series III, nr. 64",
327f6750-eb71-41b2-9c5a-deb15e5e0785,Bartolomeo Risso,—author—>,5a3a44cc-0ca7-4c2e-9835-64a8a71485d3,"Bartolomeo Risso, filza 5, series III, nr. 97",
327f6750-eb71-41b2-9c5a-deb15e5e0785,Bartolomeo Risso,—author—>,53809be4-b553-40ba-97a3-32adcb1beea1,"Bartolomeo Risso, filza 5, series II, nr. 154",
327f6750-eb71-41b2-9c5a-deb15e5e0785,Bartolomeo Risso,—author—>,530e5ef1-3556-4c02-a1b8-2678489a055c,"Bartolomeo Risso, filza 5, series III, nr. 82",
327f6750-eb71-41b2-9c5a-deb15e5e0785,Bartolomeo Risso,—author—>,4e0e60f5-bfca-4241-8785-4b8520cad4ab,"Bartolomeo Risso, filza 2, series II, nr. 3",
327f6750-eb71-41b2-9c5a-deb15e5e0785,Bartolomeo Risso,—author—>,4a55463e-9527-4b45-a453-01cbcf49fba3,"Bartolomeo Risso, filza 6, nr. 329 (formerly nr. 330)",
327f6750-eb71-41b2-9c5a-deb15e5e0785,Bartolomeo Risso,—author—>,47f7a026-e907-4a22-a627-43bcfaf83c65,"Bartolomeo Risso, filza 5, series II, nr. 9",
327f6750-eb71-41b2-9c5a-deb15e5e0785,Bartolomeo Risso,—author—>,461fed2f-210b-4a95-a583-16d0b5429acc,"Bartolomeo Risso, filza 4, series II, nr. 324",
327f6750-eb71-41b2-9c5a-deb15e5e0785,Bartolomeo Risso,—author—>,445ce082-7c7a-4cb5-ae38-53c271f06644,"Bartolomeo Risso, filza 5, series III, nr. 99",
327f6750-eb71-41b2-9c5a-deb15e5e0785,Bartolomeo Risso,—author—>,4045684b-30c6-47b9-9911-4f56422406f0,"Bartolomeo Risso, filza 1, series III, nr. 92",
327f6750-eb71-41b2-9c5a-deb15e5e0785,Bartolomeo Risso,—author—>,3dd6e631-b8ba-46cb-b5fa-0ee73b187ff0,"Bartolomeo Risso, filza 6, nr. 256",
327f6750-eb71-41b2-9c5a-deb15e5e0785,Bartolomeo Risso,—author—>,3bc762f5-9274-4ba3-8bfb-1ef51f99e30f,"Bartolomeo Risso, filza 6, nr. 345 (formerly nr. 346)",
327f6750-eb71-41b2-9c5a-deb15e5e0785,Bartolomeo Risso,—author—>,339880f8-5d02-4a8d-a02e-e004d57c1297,"Bartolomeo Risso, filza 6, nr. --- (formerly nr. 329)",
327f6750-eb71-41b2-9c5a-deb15e5e0785,Bartolomeo Risso,—author—>,2ffce7d5-6cb0-4103-8906-3db63c21ad81,"Bartolomeo Risso, filza 5, series I, nr. 214",
