Omeka ID,cidoc-crm:P149_is_identified_by,name_pedigree,name_source,edgeName,cidoc-crm:P152_has_parent,UUID-target,name_target
25400,91305345-73ef-45a8-9b34-94d20bce7ccf,Raffaele Odone q. Giovanni,Raffaele Odone,—hasFather—>,25398,c7dfe146-fda7-4228-8d8f-42046bfc0f1f,Giovanni Odone
25882,14ac0455-e6f4-4e8f-bf3e-f7050fa4e4df,Raffaele Vivaldi q. Baldassare,Raffaele Vivaldi,—hasFather—>,25846,bed5588f-7354-4503-a4f4-b01873e55d72,Baldassare Vivaldi
25055,f741553b-aa4e-48ae-b341-3b3bfc44ccde,Rainero Lomellini q. Galeotto,Rainero Lomellini,—hasFather—>,24383,7c74cf7d-88d9-4095-a47f-a60b767eb821,Galeotto Lomellini
25772,b297d11a-444f-4b6c-9783-7fc2d24645be,Ricardino Spinola q. Filippone,Ricardino Spinola,—hasFather—>,25663,59607d8b-bf15-473a-a8a6-ce67a842c3e1,Filippone Spinola
25056,c23c0cb2-d2f5-46ab-8738-59c89e5a87c6,Riccardo Lomellini q. Oberto,Riccardo Lomellini,—hasFather—>,24917,a0f93e14-f97d-4fac-9d1f-a1b92aa9e70c,Oberto Lomellini
25057,3807999b-455b-4e33-9d32-9d434bb332dd,Roberto Lomellini q. Angelo,Roberto Lomellini,—hasFather—>,23945,039500c1-943a-4095-b467-38d29bc27196,Angelo Lomellini
25326,fa6d489e-b325-448c-9770-c32ef872fdb2,Romanella de Marini q. Damiano de,Romanella de Marini,—hasFather—>,25295,76d9f94f-67c0-40f9-add9-e6f2573ee4c5,Damiano de Marini
25058,6d41fb25-37f4-4a9e-ae40-d15e574cbf6f,Salvagia Lomellini q. Carlo,Salvagia Lomellini,—hasFather—>,24166,d7e89938-d357-4c36-81ef-abc2021d1d84,Carlo Lomellini
23436,6700c13d-8741-447b-b5b9-cba71cf2dce6,Sebastiano Doria q. Opicino,Sebastiano Doria,—hasFather—>,23427,1d3448b3-538c-43ba-8594-2f7de77ee1e2,Opicino Doria
25059,e103d730-087b-4ce9-abf7-8938091b0cc1,Sebastiano Lomellini q. Egidio,Sebastiano Lomellini,—hasFather—>,24274,269574ec-063b-46b8-b8a9-74b48274ff06,Egidio Lomellini
25060,4044c302-044a-443d-9a83-6f3585e26f65,Sebastiano Lomellini q. Pantaleo,Sebastiano Lomellini,—hasFather—>,24954,8ced19aa-bae2-417d-a6ef-b54efc2bcc20,Pantaleo Lomellini
23135,03267065-45b6-4b97-9d61-fd61287e9dc9,Selvagia Calvi q. Giorgio,Selvagia Calvi,—hasFather—>,23126,f7f19afa-7ff2-477f-95d2-ebeeb10bd2a9,Giorgio Calvi
23298,77700862-e18d-4012-a896-951fa291b9fc,Selvagia Cicala q. Odoardo,Selvagia Cicala,—hasFather—>,23297,d135a12d-45f5-4080-abc4-f5b38e0866c3,Odoardo Cicala
25275,0a755ced-7e64-425a-b868-662cb5dd0780,Selvagia de Mari q. Andreolo de,Selvagia de Mari,—hasFather—>,25252,0e3bc20c-2734-4dd0-916d-9c521c262ea6,Andreolo de Mari
23499,7d11323b-8c23-4c21-a184-b10a06984358,Selvagia Fieschi q. Silvestro,Selvagia Fieschi,—hasFather—>,23500,68ca3da2-e602-4f0f-8cc0-54b701796e89,Silvestro Fieschi
23584,7627597b-e671-4c63-bb39-7c481fffdf07,Selvagia Gentile Ricci q. Marco,Selvagia Gentile Ricci,—hasFather—>,23567,b8846d13-edca-404a-a196-01191a5c1a44,Marco Gentile Ricci
23609,f37e866a-394e-45b5-b904-6e006caa0896,Selvagia Giustiniani de Forneto q. Gregorio,Selvagia Giustiniani de Forneto,—hasFather—>,23605,92d3fbbb-e1e9-4a93-80ca-61aef10b4d1d,Gregorio Giustiniani de Forneto
23855,b8a9881d-664d-4318-8a33-a8ed4087a5ef,Selvagia Lercari q. Brancaleone,Selvagia Lercari,—hasFather—>,23827,770d46b6-5e79-4342-83dd-057b47703fc7,Brancaleone Lercari
23856,8dd82080-f98f-49f6-8a0f-3b21bc842281,Selvagia Lercari q. Gregorio,Selvagia Lercari,—hasFather—>,23845,b0656dbd-236c-4e04-8702-75c566f8ef8d,Gregorio Lercari
25068,ed751e0b-6596-4dc1-87f5-45d04a46afdf,Selvagia Lomellini q. Abraino,Selvagia Lomellini,—hasFather—>,23869,bb9e8b78-bfd8-49b1-8efb-90b04cfe9867,Abraino Lomellini
25065,138b4504-2a49-4080-9290-0e1d797fee81,Selvagia Lomellini q. Cristiano,Selvagia Lomellini,—hasFather—>,24241,94a3b295-4321-4860-986e-6c9af1cbf5cf,Cristiano Lomellini
25063,b1f65f82-2b41-40d2-8c12-d80fce0def49,Selvagia Lomellini q. Francesco,Selvagia Lomellini,—hasFather—>,24328,00d60a8e-d7d7-4115-9a93-c1947cc6b069,Francesco Lomellini
25062,d332672c-6567-4124-bb7c-20f70f74ebf3,Selvagia Lomellini q. Giannotto,Selvagia Lomellini,—hasFather—>,24431,cc44b034-2c78-4fa5-8b61-56baa0eb466c,Giannotto Lomellini
25066,cb419ae0-be4e-4f20-ae29-5e11a371df08,Selvagia Lomellini q. Giovanni,Selvagia Lomellini,—hasFather—>,24526,057d01e8-2462-45df-8980-cb1d3f5eea3c,Giovanni Lomellini
25064,a4b58e22-93e0-418d-8c2f-ee571d4bf23a,Selvagia Lomellini q. Lodisio,Selvagia Lomellini,—hasFather—>,24674,242c7a60-e508-487b-83d6-fa482110cbc6,Lodisio Lomellini
25061,a36055be-0c84-4a0b-9c92-213f714d77ef,Selvagia Lomellini q. Niccolò,Selvagia Lomellini,—hasFather—>,24872,f931942c-71c7-418b-9699-f8362cd4c875,Niccolò Lomellini
25067,7a213d84-b1c1-4965-8ae0-cfaa71ba5d3d,Selvagia Lomellini q. Tobia,Selvagia Lomellini,—hasFather—>,25157,b642d3b4-1f30-4f3f-8e5b-936cc9def585,Tobia Lomellini
25774,6da2f159-0706-49ec-9c33-e61683c32db4,Selvagia Spinola q. Sorleone,Selvagia Spinola,—hasFather—>,25777,78dd545c-3c01-4a60-acb6-bf75a806e140,Sorleone Spinola
25883,a9105026-28a7-446f-a3b3-e83e4c437cf6,Selvagia Vivaldi q. Luca,Selvagia Vivaldi,—hasFather—>,25867,72012afb-c4d7-430f-aeed-bc2a76b6fbea,Luca Vivaldi
25069,10e5cf89-1432-48f9-b00e-6c3fb6a33d97,Selvagio Lomellini q. Niccolò,Selvagio Lomellini,—hasFather—>,24875,e51bd674-e1f8-4328-b248-e646d0ef304c,Niccolò Lomellini
25070,b6f1d356-2152-4d20-b125-65ba0720228d,Selvagio Lomellini q. Selvagio,Selvagio Lomellini,—hasFather—>,25069,10e5cf89-1432-48f9-b00e-6c3fb6a33d97,Selvagio Lomellini
25071,3937a47a-47d8-48fd-b651-9befb4b51539,Sibilla Lomellini q. Andrea,Sibilla Lomellini,—hasFather—>,23928,146d9e63-06fa-421a-aba4-3371883b7eff,Andrea Lomellini
