omeka-IDsource,cidoc-crm:P149_is_identified_by,name_source,edge,cidoc-crm:P152_has_parent,targetID,name_target
24634,073a0452-d0e3-4564-b994-ab08bb46fd8b,Isabella Lomellini,—hasMother—>,23038,71ef6995-d100-4c94-a69d-77ab81f4e12b,Orietta —
24815,07403880-8cb0-4fc8-b080-732c67b3f1ae,Maria Lomellini,—hasMother—>,23834,8eb1cf8b-3941-4dc4-9746-67aa54e99ced,Franca Lercari
24433,0756c613-a49d-4fee-a70a-4265d97da1ef,Giannotto Lomellini,—hasMother—>,23152,4c553284-883a-4899-b7e8-2f5a1599f61e,Eliana Campofregoso
24682,0778c911-941e-4b4c-88d7-11111e7e9fd2,Lorenzina Lomellini,—hasMother—>,23855,b8a9881d-664d-4318-8a33-a8ed4087a5ef,Selvagia Lercari
23177,07a92e65-4222-432b-84d9-0daea191322f,Camilla de Cassina,—hasMother—>,25495,9b8f1d38-0c49-4b67-b1c6-f11c72ded7cd,Isabella Platamona Ventimiglia
24076,07c9e670-0ec0-40c3-bf73-644dfc1a5cd3,Battista Lomellini,—hasMother—>,23987,5a7d8ea1-2a3c-43ca-8f70-7661cabfb119,Argenta Lomellini
23150,07f148bc-5081-461f-bf45-21c9fc60c096,Pelotta Camilla q. Domenico,—hasMother—>,23002,27958a94-436f-4d83-bd94-793985fb620a,Bigotta —
24042,08006309-e45d-4d53-863b-3f706de92d8f,Battina Lomellini,—hasMother—>,24080,1cd8b9ea-99cd-4a23-a6d0-1fc7bb4e089b,Benedetta Lomellini
24810,084450bb-8f90-4a3e-9c0f-fce8fe02dd5e,Maria Lomellini,—hasMother—>,23623,738ecfb9-e519-46b8-b743-8c1daa109c85,Giovanna Grillo
24685,086fc794-1101-4c1c-91a9-1edcc929e1e0,Lorenzo Lomellini,—hasMother—>,25877,d022ca07-d7e4-4852-a4f1-9b2cabaf96d3,Peretta Vivaldi
23993,087b4932-fed1-4ef7-9500-0c8182edd1cc,Argenta Lomellini,—hasMother—>,23572,5d75d31d-096b-4750-bad3-b82396765e4b,Maria Gentile Pignoli
24351,08b8e936-fe43-4dd0-bcdc-4a3cb7fbf8a2,Francesco Lomellini,—hasMother—>,23584,7627597b-e671-4c63-bb39-7c481fffdf07,Selvagia Gentile Ricci
23988,08bf3d64-1895-4d7e-9fa0-2267e69fcb34,Argenta Lomellini,—hasMother—>,23280,ec732cd8-dfa3-4de0-9a05-366c78eb5717,Pietra de Ciba
23912,09066f8e-a1b4-42da-95b2-82ccfe3835db,Ambrogio Lomellini,—hasMother—>,23395,3f38c4cd-f982-42a1-bbd2-6f511c2e228c,Gironima Doria
24107,095f80c6-0a6d-438a-8305-2043b83a8638,Bernardo Lomellini,—hasMother—>,24050,25042291-c1e5-4952-84d6-ff8c9368173c,Battina Lomellini
23929,09de5ca1-a5af-460f-83c8-638d26eb5553,Andreola Lomellini,—hasMother—>,25275,0a755ced-7e64-425a-b868-662cb5dd0780,Selvagia de Mari
24951,09f71018-1a7a-4694-b847-2d0b409d8ffb,Ottobono Lomellini,—hasMother—>,25828,a6934968-a47e-45ac-b0b9-908eb4343b27,Orietta Usodimare
25082,0a0aa159-0880-4992-af71-c58685ab50fd,Simone Lomellini,—hasMother—>,25742,2572e1d7-8a62-4ccd-a0c3-2e6f4e508c1b,Moisetta Spinola
24665,0a81a30b-401f-47f7-9994-3b8bec3cbdec,Leonello Lomellini,—hasMother—>,23049,8a80ccc0-6449-4e4c-93ad-b1dfa53d5ce5,Tommasina —
23906,0aa4ef3b-5395-4f4a-8fb2-8647be354cf2,Ambaldo Lomellini,—hasMother—>,23038,71ef6995-d100-4c94-a69d-77ab81f4e12b,Orietta —
25150,0abb72e3-1f30-40a9-8524-be66889b4683,Teresa Lomellini,—hasMother—>,24150,cb9ccc03-acf2-4f24-9beb-8218f459d3fd,Camilla Lomellini
24751,0ac258db-7013-474c-a04f-a087fe269ce1,Marchione Lomellini,—hasMother—>,23021,14c007a3-fd30-40cc-b1dd-174dd9d7aef8,Isabella —
23958,0aecad0d-df15-4cdd-acd5-478f7b85c1dd,Ansaldo Lomellini,—hasMother—>,23364,b2b96b56-fbbe-4f0c-9e6d-7324c9df69df,Chiara Doria
24182,0aee8b82-a17d-4b94-815f-dd2765f01fd8,Caterina Lomellini,—hasMother—>,23700,ecfde847-a327-48ab-bc8e-cd982b22fd80,Nicoletta Grimaldi Cebà
24546,0af0667b-7877-4176-abba-0d28e83bb3c3,Girolamo Lomellini,—hasMother—>,24571,4f7a073b-5551-4233-9f01-5ddd8991e3f2,Gironima Lomellini
24750,0b0d213c-6bb2-4c46-a633-4fd6765ef39f,Marc' Antonio Lomellini,—hasMother—>,23026,028bd9c3-794a-4594-b344-cb62e48e1da4,Lucia —
25138,0b2eae5d-246e-4429-885c-ceed669da5fd,Teodora Lomellini,—hasMother—>,23554,cbff4beb-4d5f-4935-8be8-9e4d6ae116dc,Giorgietta Gentile
23955,0b30d2bd-18fb-485a-b422-c080bae218c2,Ansaldo Lomellini,—hasMother—>,23023,feb86792-edd8-4feb-8d5f-d5a42fcdfbae,Lanza —
24737,0b94436b-6637-4a8c-a5f7-14fa70e0b82e,Maddalena Lomellini,—hasMother—>,23536,c757d7d0-cbef-4815-944f-8e5f2ec18897,Benedetta Gentile
24361,0bb08964-971b-473a-864a-583d8911c4b0,Francisca Lomellini,—hasMother—>,25639,7f19ec94-bcd1-49c0-8451-1b69d267559a,Chiara Spinola
24803,0be1c613-1083-4773-877b-886d414f3169,Maria Lomellini,—hasMother—>,23177,07a92e65-4222-432b-84d9-0daea191322f,Camilla de Cassina
24272,0c146368-b653-4938-a564-8aeadcc8921d,Dorotea Lomellini,—hasMother—>,25171,21459f0f-b43f-41fd-bb26-650fd891e6ad,Tommasina Lomellini
24112,0c9e09c9-a5fb-47bd-8c13-c0e085c093d1,Bernardo Lomellini,—hasMother—>,25486,5e8f45a4-4143-4438-a5a2-fb1e2ebe4ca3,Maria Pinelli
25158,0d1b8ba8-8963-4870-89f3-b91fbfb5c9bd,Tobia Lomellini,—hasMother—>,23017,30d92a95-c6d1-4c56-876c-7c0cc1dd6b44,Gioffredina —
24222,0df583aa-ff3e-42fe-b282-1143e78fe959,Clarisia Lomellini,—hasMother—>,23435,a424676d-970d-496c-b294-9bb4d8b8e46c,Pietra Doria
24363,0e2f1760-9085-44ba-bbba-67d13e735355,Francisca Lomellini,—hasMother—>,25582,6d0607ed-42bd-4440-902d-9d2d653d8ad8,Bianca de Signori di Lagneto
25019,0f70c654-339a-4f88-8b9c-cf585fc41abe,Pietra Lomellini,—hasMother—>,23304,969c4523-88f7-4160-9643-5848b108d29b,Bianca Ciconia
25577,10c0f47f-825e-4eb0-893a-58b916fe588e,Eliana Serra,—hasMother—>,25407,08247da3-5311-4bd0-9d9a-9be30b6ffd19,Caterina Oltramarini
25069,10e5cf89-1432-48f9-b00e-6c3fb6a33d97,Selvagio Lomellini,—hasMother—>,25532,3e632c3a-3c81-44b3-89c1-0c5d0da82806,Beatrice Salvago Nepitelli
24909,10f1b416-cc15-4653-91ad-67f6b2c890b4,Novella Lomellini,—hasMother—>,23610,62db3d53-61a8-440b-9acc-8758eaa0396e,Valerana Giustiniani Longhi
24465,1118dd67-9f19-4f77-9f90-fb938a7d7e06,Giovanna Lomellini,—hasMother—>,24054,9c6505a0-696b-415b-ae4b-c12f19fd3a69,Battina Lomellini
24398,11222489-245f-439c-a271-e0fd028015c9,Gherardo Lomellini,—hasMother—>,23044,1bed15d1-5660-49e9-871c-a6eede394725,Selvagia —
24115,126f91a4-621c-4d56-97c3-c530f0096b7f,Bianca Lomellini,—hasMother—>,23016,2e85f439-99d1-4d3a-b90b-e518519ee836,Francisca —
24808,127b95b8-d082-4051-8205-d66895bddeaf,Maria Lomellini,—hasMother—>,23376,476323a6-8a14-49c1-88c1-56cb453d4487,Francisca Doria
24839,12b13176-0d70-4fea-8ac9-d142db866871,Matteo Lomellini,—hasMother—>,23435,a424676d-970d-496c-b294-9bb4d8b8e46c,Pietra Doria
24772,1368576c-70cb-4e14-aace-9e6c4ed52ef0,Maria Lomellini,—hasMother—>,24284,a4a637bd-b46a-43ac-82e5-3a7eedb8bc72,Eliana Lomellini
24130,136d86e1-330a-405e-91a9-ea7305ed7851,Bonifacio Lomellini,—hasMother—>,24574,1e792ee6-6c78-4a1d-8313-d81bacd4ec9f,Gironima Lomellini
25065,138b4504-2a49-4080-9290-0e1d797fee81,Selvagia Lomellini,—hasMother—>,23593,84c419fc-be6c-40bf-8cc7-b7e1acb8a06d,Caterina Ghizolfi
24948,13bcf022-97c0-40dd-b006-6479403f4219,Ottobono Lomellini,—hasMother—>,23029,e78beb8e-6df8-4f09-888d-a952742368a8,Margaritta —
24105,13cccaef-54e5-4201-a3db-dcd32c6cb2c4,Bernardina Lomellini,—hasMother—>,23620,5d13c7bf-cf75-4f89-81c4-46cb1e927c04,Francisca Grillo
24302,13d8f601-0486-4522-96cd-c10275546538,Faustina Lomellini,—hasMother—>,23659,2552b322-281d-41e7-ac4c-211f4c9b58c0,Bianca Grimaldi Oliva
25047,13df1438-10dc-417e-91c6-0574783e7b9e,Raffaele Lomellini,—hasMother—>,23206,c70cf9f9-a298-49b3-804b-a4e96939b64c,Gironima Cattaneo Mallone
24269,140dd6e4-9ccb-4582-bae6-2813b2473be6,Domenico Lomellini,—hasMother—>,25493,b6697345-3915-49f2-9c5a-bd4a38aa7db3,Violante Pinelli
24536,1428cf89-9a3b-471d-9d18-597907209fd9,Giovanni Lomellini,—hasMother—>,23694,cad802cb-6d3d-4393-abdd-1bfae94155f8,Luigia Grimaldi
