cidoc-crm:P143_joined,targetID,edgeHusband,omeka-SRCID,cidoc-crm:P149_is_identified_by,targetName
23429,0ecaf4e3-438c-4088-b5a1-15594cf3ab09,—marriedTo—>,23796,dbca0433-0d57-4594-b1e6-cbb6635a803f,
23706,0f4bd09b-70a1-4de8-b0bf-a2b76c5abbae,—marriedTo—>,25062,d332672c-6567-4124-bb7c-20f70f74ebf3,
25732,0f7c01e9-eaca-4f99-89fe-595266f23a49,—marriedTo—>,24366,bbb55ea8-9bb4-4020-9061-117ba7570ce5,
24529,107211aa-e808-4b14-a36d-fb1727a1284e,—marriedTo—>,25808,a60cb05d-b2af-4e1a-9ca0-8d19e870e0e4,
25069,10e5cf89-1432-48f9-b00e-6c3fb6a33d97,—marriedTo—>,25389,9474248e-143c-4c3e-ba98-ebcf5949e09a,
24398,11222489-245f-439c-a271-e0fd028015c9,—marriedTo—>,25456,003832cd-591f-41ee-b42b-a982e61e8d29,
25424,126f7965-2cb6-43fb-97dd-6a23b0ae7923,—marriedTo—>,24804,7b1025bf-6d14-42b2-af32-87351cafed0b,
25435,12ac716e-5c26-483e-af95-be3b48fe2fd5,—marriedTo—>,23798,626fc33e-559c-48ce-abc4-065151e3f751,
24839,12b13176-0d70-4fea-8ac9-d142db866871,—marriedTo—>,23048,25919037-acc7-4a22-822f-7669d7f382dc,
24839,12b13176-0d70-4fea-8ac9-d142db866871,—marriedTo—>,25616,60f9081b-6aaf-4ae9-9ad3-8cfb07cbea23,
24839,12b13176-0d70-4fea-8ac9-d142db866871,—marriedTo—>,23501,70a0c597-9362-41a7-968f-0a45ae1ba4fe,
24130,136d86e1-330a-405e-91a9-ea7305ed7851,—marriedTo—>,25321,19a2f7b3-6ad6-4bf4-8f7d-0beb7f1fabf3,
24130,136d86e1-330a-405e-91a9-ea7305ed7851,—marriedTo—>,25293,6581fcd9-ad9c-4efe-8a98-dddf0dd4cdb9,
23399,13eb06a6-4d02-4315-aac2-bcad5cd78420,—marriedTo—>,23775,e5f552dc-426d-4495-b86a-50ad49e1f490,
24269,140dd6e4-9ccb-4582-bae6-2813b2473be6,—marriedTo—>,25767,1311bb60-1a88-4106-a9d7-5cb2b5fe115e,
24536,1428cf89-9a3b-471d-9d18-597907209fd9,—marriedTo—>,25442,4604d1aa-7fda-4ab8-be73-8e4bac97fa19,
23928,146d9e63-06fa-421a-aba4-3371883b7eff,—marriedTo—>,23046,3871ad32-4e6c-492e-a1fd-a85d6d747343,
25882,14ac0455-e6f4-4e8f-bf3e-f7050fa4e4df,—marriedTo—>,25065,138b4504-2a49-4080-9290-0e1d797fee81,
24290,14cd24d2-143e-4eb5-89c7-ba189e9b2091,—marriedTo—>,23629,7b14e228-ae72-426e-968e-4b0838562569,
23750,151f70d2-b45e-415d-8622-061dfb0fd75d,—marriedTo—>,25757,0a87725f-f3f6-4b40-b372-cfe6587bc1f4,
24207,15269e6a-494f-4104-b96a-0a3d4194b02a,—marriedTo—>,23007,41e473e8-4ed2-4d4a-87f4-fa3f13cb7836,
23378,15355754-e048-4561-a39c-2d1c0da84be4,—marriedTo—>,25209,cd1aee19-e304-4cb6-a926-1659212a2d8b,
24952,169f172e-fb7c-40d4-aa7e-77751f6dd0d4,—marriedTo—>,25800,67cb5038-2c79-4167-b1a6-0d23bc315cd5,
24394,16b5b696-647a-472c-91c7-7023dd677e1d,—marriedTo—>,23580,03267065-45b6-4b97-9d61-fd61287e9dc9,
24394,16b5b696-647a-472c-91c7-7023dd677e1d,—marriedTo—>,23135,d86feb3d-d661-4c19-ae30-0519188b078a,
23549,16f7a65c-05b5-4cf0-b8e9-d54f2151a774,—marriedTo—>,24807,f0dd0abb-8f99-4fa7-a97c-75dcf5c2f3e4,
24885,17673802-5664-430f-979d-66b05b0097c8,—marriedTo—>,23998,5cda72c6-9956-4c54-b633-b254b7a78621,
23064,188d535a-1bd8-4f16-aef9-01d5bd339cc9,—marriedTo—>,24796,47549ade-05e4-4236-9494-d07a0d86aee2,
25660,18bfa1c6-2121-4497-b51a-194425bd4f79,—marriedTo—>,24799,aaa8dec7-5c5c-4424-a054-23440f38b282,
25195,18ebcdd2-bc4b-4adc-b0b3-2d5f6c800e63,—marriedTo—>,23987,5a7d8ea1-2a3c-43ca-8f70-7661cabfb119,
23222,190fa4c8-7888-407a-9e15-babcb2cfc7e3,—marriedTo—>,24439,1cf1a645-d07e-4758-840d-69cab6296c6a,
24291,1925ca9f-7714-46f3-b779-5ce1768d7e63,—marriedTo—>,25336,87b283e1-22c7-4b53-9f69-3a60e69ca122,
24923,1a28a0f5-7f19-41e8-9e1c-6ac09c9cf25a,—marriedTo—>,23933,b7fc6562-469b-4a15-9303-5c70160ec4e1,
