sourceID,sourceName,edge,targetID,targetName,targetReference,targetDate
386ef920-92fa-4c25-b678-24da64b45a68,Giovanni Battista Lomellini q. Tobia,—inDocument—>,c748ccd0-b68a-48c1-8ed1-fd1990f273f3,"Giovanni Battista Foglietta, filza 3, nr. 142",,
b18cef94-49b2-41c7-950e-0e5543c9e759,Francesco Cattaneo,—inDocument—>,c748ccd0-b68a-48c1-8ed1-fd1990f273f3,"Giovanni Battista Foglietta, filza 3, nr. 142",,
2a3cdd24-26c5-481d-85f6-b367634769c5,Battista Lomellini q. Giorgio,—inDocument—>,d19cd861-8622-4a76-98ce-3b7318e3c19f,De viris illustribus liber nunc primum ex ms. cod in lucem erutus,p. 42,
4eecc388-70b2-4ec3-9c87-871e05336403,Pier Battista Lomellini q. Niccolò,—inDocument—>,53567522-3555-45d8-81c5-64366fa21aaa,"Ambrogio de Fornari Compiano, filza 1, item dated 1518-03-17",,
4d300555-79dc-4b55-84df-fa4cfdcdd2ca,Giovanni Battista Doria ,—inDocument—>,d2c6472f-2497-4ee5-8e11-6a2b89ab4245,"Agostino de Ferrari, filza 1, item dated 1501-10-17",,
68994ad6-961c-459d-afa2-2767366ed84a,Maria Lomellini q. Ambrogio,—inDocument—>,d2c6472f-2497-4ee5-8e11-6a2b89ab4245,"Agostino de Ferrari, filza 1, item dated 1501-10-17",,
952aa3a2-c7cd-4897-bc29-6e62d6b3f53d,Domenico Lercari q. Simone,—inDocument—>,d2c6472f-2497-4ee5-8e11-6a2b89ab4245,"Agostino de Ferrari, filza 1, item dated 1501-10-17",,
a9e2cf39-b107-4aa0-9471-7099824c72e5,Girolamo Doria q. Agostino,—inDocument—>,d2c6472f-2497-4ee5-8e11-6a2b89ab4245,"Agostino de Ferrari, filza 1, item dated 1501-10-17",,
5fbc2f69-94d3-4cd2-b1b1-ff6f58d11f9f,Giacomo Lomellini q. Filippo,—inDocument—>,d2c6472f-2497-4ee5-8e11-6a2b89ab4245,"Agostino de Ferrari, filza 1, item dated 1501-10-17",,
e2df4018-7bff-4757-a66b-7f88e837f5d9,Filippo Lomellini q. Ambrogio,—inDocument—>,d2c6472f-2497-4ee5-8e11-6a2b89ab4245,"Agostino de Ferrari, filza 1, item dated 1501-10-17",,
64d1de39-0034-40b8-b4fa-e23b50749a27,Ambrogio Lomellini q. Baldassare,—inDocument—>,d2c6472f-2497-4ee5-8e11-6a2b89ab4245,"Agostino de Ferrari, filza 1, item dated 1501-10-17",,
a6b945e0-08f1-4367-a1f9-d75e7ec68e21,Isaaco — q. Davide,—atPlace—>,e631966e-c006-4b4f-8223-e001bfc93fbf,Genoa,,1518
71f8b20f-a914-4941-9f81-8c8b652db986,Bartolommeo Spinola ,—inDocument—>,7a58408a-ff07-48d6-9d03-f33e3fce7937,"Ambrogio de Fornari Compiano, filza 1, nr. 175",,
5e29aa7a-66be-4a9a-a6e1-01a0037e165f,Enrico Camilla ,—inDocument—>,7a58408a-ff07-48d6-9d03-f33e3fce7937,"Ambrogio de Fornari Compiano, filza 1, nr. 175",,
42232586-1b9c-4852-83a4-47a5addf0ab5,Gironima Spinola q. Bartolomeo,—inDocument—>,7a58408a-ff07-48d6-9d03-f33e3fce7937,"Ambrogio de Fornari Compiano, filza 1, nr. 175",,
2b24bf29-4bd0-46fa-8f69-ddbb7262ae34,Domenico Camilla q. Enrico,—inDocument—>,7a58408a-ff07-48d6-9d03-f33e3fce7937,"Ambrogio de Fornari Compiano, filza 1, nr. 175",,
27958a94-436f-4d83-bd94-793985fb620a,Bigotta —,—inDocument—>,7a58408a-ff07-48d6-9d03-f33e3fce7937,"Ambrogio de Fornari Compiano, filza 1, nr. 175",,
f35202af-c960-4537-89bc-03c677dac832,Tedisio Camilla,—inDocument—>,7a58408a-ff07-48d6-9d03-f33e3fce7937,"Ambrogio de Fornari Compiano, filza 1, nr. 175",,
ba243a8a-b282-48e3-86d6-f90fdb7ae1f5,Maria Camilla q. Enrico,—inDocument—>,7a58408a-ff07-48d6-9d03-f33e3fce7937,"Ambrogio de Fornari Compiano, filza 1, nr. 175",,
5ab9820e-c68f-45ed-bdf8-34f86708c2db,Battista Grimaldi Oliva,—inDocument—>,7a58408a-ff07-48d6-9d03-f33e3fce7937,"Ambrogio de Fornari Compiano, filza 1, nr. 175",,
dc5209e7-6741-47cf-985b-7ed3850ae9b4,Caterina Camilla q. Domenico,—inDocument—>,7a58408a-ff07-48d6-9d03-f33e3fce7937,"Ambrogio de Fornari Compiano, filza 1, nr. 175",,
07f148bc-5081-461f-bf45-21c9fc60c096,Pelotta Camilla q. Domenico,—inDocument—>,7a58408a-ff07-48d6-9d03-f33e3fce7937,"Ambrogio de Fornari Compiano, filza 1, nr. 175",,
5c4e40d2-eea8-4ac5-b2f1-f683995de2bf,Niccolò Camilla q. Domenico,—inDocument—>,7a58408a-ff07-48d6-9d03-f33e3fce7937,"Ambrogio de Fornari Compiano, filza 1, nr. 175",,
